CRASH DATE,CRASH TIME,CRASH_DATETIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,COLLISION_ID,UNIQUE_ID,PERSON_ID,PERSON_TYPE,PERSON_INJURY,VEHICLE_ID,PERSON_AGE,EJECTION,EMOTIONAL_STATUS,BODILY_INJURY,POSITION_IN_VEHICLE,SAFETY_EQUIPMENT,COMPLAINT,PED_ROLE,PERSON_SEX,YEAR,INJURY_TYPE
2020-02-05,23:50:00,2020-02-05 23:50:00,QUEENS,11385,40.70399,-73.85589,"(40.70399, -73.85589)",WOODHAVEN BOULEVARD,82 AVENUE,2.0,0.0,0,0,0,0,2,0,UNSPECIFIED,UNSPECIFIED,SEDAN,BUS,4284368,11077207,43CB8A6F-83AA-4234-85FA-D2FFEE6ABD64,OCCUPANT,UNSPECIFIED,19567615.0,,,,,,,,REGISTRANT,F,2020,MOTORIST
2020-02-12,08:10:00,2020-02-12 08:10:00,NONE,,40.69152,-73.74708,"(40.69152, -73.74708)",NASHVILLE BOULEVARD,120 AVENUE,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4287285,11106052,88EF4D01-08C3-43D0-B70A-5E2EBDE998A5,OCCUPANT,UNSPECIFIED,19582582.0,33.0,,,,,,,REGISTRANT,M,2020,MOTORIST
2020-01-21,08:50:00,2020-01-21 08:50:00,MANHATTAN,10022,40.757072,-73.96986,"(40.757072, -73.96986)",3 AVENUE,EAST 52 STREET,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,TAXI,TAXI,4276869,11015128,E2373C79-3FE4-4E81-9D38-36A4351315FA,OCCUPANT,UNSPECIFIED,19535561.0,62.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,UNKNOWN,DOES NOT APPLY,DRIVER,M,2020,MOTORIST
2020-02-09,01:40:00,2020-02-09 01:40:00,BROOKLYN,11207,40.685097,-73.912315,"(40.685097, -73.912315)",,,0.0,0.0,0,0,0,0,0,0,PEDESTRIAN/BICYCLIST/OTHER PEDESTRIAN ERROR/CONFUSION,UNSPECIFIED,TAXI,TAXI,4285889,11052490,CA242C96-BCED-4483-9EE3-85F62144BBCF,OCCUPANT,UNSPECIFIED,19554774.0,73.0,,,,,,,REGISTRANT,M,2020,MOTORIST
2020-01-22,20:09:00,2020-01-22 20:09:00,BRONX,10475,40.885952,-73.8279,"(40.885952, -73.8279)",CONNER STREET,BOSTON ROAD,1.0,0.0,0,0,0,0,1,0,DRIVER INATTENTION/DISTRACTION,DRIVER INEXPERIENCE,SEDAN,SEDAN,4278179,11046048,0FFDF788-1751-4C1C-B1C8-9D5FC8CA6CDC,OCCUPANT,UNSPECIFIED,19551512.0,27.0,,,,,,,REGISTRANT,M,2020,MOTORIST
2020-02-02,22:00:00,2020-02-02 22:00:00,NONE,,40.661835,-73.89311,"(40.661835, -73.89311)",PENNSYLVANIA AVENUE,,0.0,0.0,0,0,0,0,0,0,FAILURE TO YIELD RIGHT-OF-WAY,DRIVER INATTENTION/DISTRACTION,PICK-UP TRUCK,SEDAN,4283563,11108207,FCFD90A2-4E54-4DB1-AFFD-69A6AAB9B385,OCCUPANT,UNSPECIFIED,19583708.0,29.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2020,MOTORIST
2020-01-22,11:20:00,2020-01-22 11:20:00,NONE,,40.759983,-73.80216,"(40.759983, -73.80216)",SANFORD AVENUE,,0.0,0.0,0,0,0,0,0,0,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4277389,11077967,37DB4714-AC38-4720-A513-658A7BF05E97,OCCUPANT,UNSPECIFIED,19568006.0,51.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,F,2020,MOTORIST
2020-02-13,17:45:00,2020-02-13 17:45:00,BROOKLYN,11229,40.616043,-73.94484,"(40.616043, -73.94484)",KINGS HIGHWAY,NOSTRAND AVENUE,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,DRIVER INATTENTION/DISTRACTION,STATION WAGON/SPORT UTILITY VEHICLE,SEDAN,4288271,11064925,7DC2FAD5-D657-4B87-9669-57A9A78E0D39,OCCUPANT,UNSPECIFIED,19561217.0,11.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,"ANY PERSON IN THE REAR OF A STATION WAGON, PICK-UP TRUCK, ALL PASSENGERS ON A BUS, ETC",,DOES NOT APPLY,PASSENGER,M,2020,MOTORIST
2020-01-28,11:03:00,2020-01-28 11:03:00,BROOKLYN,11208,40.677612,-73.873276,"(40.677612, -73.873276)",,,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,,SEDAN,,4280177,11094247,6F702C15-3E73-4DEC-A6C6-752EB6D1DAD1,OCCUPANT,UNSPECIFIED,19576488.0,45.0,,,,,,,REGISTRANT,M,2020,MOTORIST
2020-01-25,15:10:00,2020-01-25 15:10:00,NONE,,40.822056,-73.920395,"(40.822056, -73.920395)",MORRIS AVENUE,CONCOURSE VILLAGE EAST,1.0,0.0,1,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,,SEDAN,,4279263,11046567,F1A79A28-63E8-4047-AB0D-911B8BE511DB,OCCUPANT,UNSPECIFIED,19551783.0,22.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,"LEFT REAR PASSENGER, OR REAR PASSENGER ON A BICYCLE, MOTORCYCLE, SNOWMOBILE",,DOES NOT APPLY,PASSENGER,F,2020,MOTORIST
2020-01-27,19:30:00,2020-01-27 19:30:00,NONE,,40.834423,-73.879265,"(40.834423, -73.879265)",EAST 174 STREET,,1.0,0.0,0,0,0,0,1,0,FOLLOWING TOO CLOSELY,UNSPECIFIED,SEDAN,,4281443,11063269,BC3604EA-CEA3-4568-83ED-A3993E8E939A,OCCUPANT,INJURED,19560374.0,24.0,NOT EJECTED,CONSCIOUS,ENTIRE BODY,"FRONT PASSENGER, IF TWO OR MORE PERSONS, INCLUDING THE DRIVER, ARE IN THE FRONT SEAT",LAP BELT & HARNESS,UNKNOWN,PASSENGER,F,2020,MOTORIST
2020-02-16,20:00:00,2020-02-16 20:00:00,QUEENS,11434,40.66675,-73.779945,"(40.66675, -73.779945)",SOUTH CONDUIT AVENUE,ROCKAWAY BOULEVARD,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,SEDAN,4289307,11152796,50A5EA1B-A711-4D2D-ADBB-CAE8AB0DDFCD,OCCUPANT,UNSPECIFIED,19607770.0,54.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2020,MOTORIST
2020-02-15,12:35:00,2020-02-15 12:35:00,NONE,,40.733685,-73.92396,"(40.733685, -73.92396)",BROOKLYN QUEENS EXPRESSWAY,,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,SEDAN,4289116,11108407,E4796386-BE76-42C2-AB56-1BD114615FE3,OCCUPANT,UNSPECIFIED,19583817.0,28.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2020,MOTORIST
2020-01-25,03:00:00,2020-01-25 03:00:00,BROOKLYN,11238,40.683723,-73.96797,"(40.683723, -73.96797)",FULTON STREET,VANDERBILT AVENUE,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,SEDAN,STATION WAGON/SPORT UTILITY VEHICLE,4278430,11011585,EE116D3C-8F64-4234-8A15-B16D029A2C91,OCCUPANT,UNSPECIFIED,19533762.0,38.0,,,,,,,REGISTRANT,M,2020,MOTORIST
2020-02-16,12:07:00,2020-02-16 12:07:00,BROOKLYN,11233,40.676342,-73.910934,"(40.676342, -73.910934)",ATLANTIC AVENUE,ROCKAWAY AVENUE,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,,PICK-UP TRUCK,,4292746,11068461,27780F87-EBF2-43C9-98F6-E8E8DEFE804B,OCCUPANT,UNSPECIFIED,19563021.0,,,,,,,,REGISTRANT,U,2020,MOTORIST
2020-02-11,11:00:00,2020-02-11 11:00:00,QUEENS,11354,40.7731,-73.84566,"(40.7731, -73.84566)",28 AVENUE,COLLEGE POINT BOULEVARD,0.0,0.0,0,0,0,0,0,0,FOLLOWING TOO CLOSELY,UNSPECIFIED,PICK-UP TRUCK,STATION WAGON/SPORT UTILITY VEHICLE,4287104,11138829,1F076919-E9DC-423B-9A2F-9A786ADC1B59,OCCUPANT,UNSPECIFIED,19600153.0,63.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2020,MOTORIST
2020-02-04,08:59:00,2020-02-04 08:59:00,BRONX,10453,40.85053,-73.905136,"(40.85053, -73.905136)",GRAND CONCOURSE,EAST 178 STREET,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,SEDAN,4283639,11050444,C2D03960-DE14-43D9-8AC1-E233D9C12F5E,OCCUPANT,UNSPECIFIED,19553722.0,66.0,,,,,,,REGISTRANT,F,2020,MOTORIST
2020-02-01,14:10:00,2020-02-01 14:10:00,BROOKLYN,11203,40.643173,-73.92946,"(40.643173, -73.92946)",,,1.0,0.0,1,0,0,0,0,0,UNSPECIFIED,,STATION WAGON/SPORT UTILITY VEHICLE,,4283573,11076867,4D4416BB-C12E-4692-B236-4186B48A6E60,OCCUPANT,UNSPECIFIED,19567451.0,,,,,,,,REGISTRANT,M,2020,MOTORIST
2020-02-11,10:20:00,2020-02-11 10:20:00,NONE,,40.75117,-73.9152,"(40.75117, -73.9152)",48 STREET,,0.0,0.0,0,0,0,0,0,0,FAILURE TO YIELD RIGHT-OF-WAY,FAILURE TO YIELD RIGHT-OF-WAY,DUMP,TAXI,4287203,11107145,1EEDDFD4-0D70-4CA6-A4EE-668CEF8247B6,OCCUPANT,UNSPECIFIED,19583152.0,,,,,,,,REGISTRANT,U,2020,MOTORIST
2020-01-22,14:50:00,2020-01-22 14:50:00,STATEN ISLAND,10310,40.627136,-74.11292,"(40.627136, -74.11292)",HARVEST AVENUE,NORTH BURGHER AVENUE,1.0,0.0,0,0,0,0,1,0,DRIVER INATTENTION/DISTRACTION,DRIVER INATTENTION/DISTRACTION,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4277752,11010419,4D74528A-BA97-493F-B4DF-95554754F4A0,OCCUPANT,INJURED,19533177.0,48.0,NOT EJECTED,CONSCIOUS,SHOULDER - UPPER ARM,DRIVER,LAP BELT & HARNESS,COMPLAINT OF PAIN OR NAUSEA,DRIVER,F,2020,MOTORIST
2020-01-21,08:40:00,2020-01-21 08:40:00,NONE,,40.806343,-73.93318,"(40.806343, -73.93318)",HARLEM RIVER DRIVE,,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,SEDAN,BUS,4278009,11005095,9E5265D9-6613-415F-94D4-4DBA10103E26,OCCUPANT,UNSPECIFIED,19530512.0,,,,,,,,REGISTRANT,,2020,MOTORIST
2020-02-08,16:42:00,2020-02-08 16:42:00,MANHATTAN,10018,40.75469,-73.99536,"(40.75469, -73.99536)",9 AVENUE,WEST 36 STREET,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4286270,11040152,8D1AF692-9A3B-4486-B49F-C9FF3ABACE32,OCCUPANT,UNSPECIFIED,19548480.0,39.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2020,MOTORIST
2020-02-16,21:51:00,2020-02-16 21:51:00,NONE,,40.84106,-73.92851,"(40.84106, -73.92851)",MAJOR DEEGAN EXPRESSWAY,,5.0,0.0,0,0,0,0,5,0,UNSAFE SPEED,UNSPECIFIED,SEDAN,SEDAN,4289594,11092035,2FF3401E-8E88-4845-9321-4C58970DD629,OCCUPANT,UNSPECIFIED,19575303.0,41.0,,,,,,,REGISTRANT,M,2020,MOTORIST
2020-01-28,06:00:00,2020-01-28 06:00:00,BRONX,10473,40.812233,-73.853874,"(40.812233, -73.853874)",,,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,SEDAN,4281428,11063747,FA6FD0BA-953F-490B-BD8D-3C72C5309FF9,OCCUPANT,UNSPECIFIED,19560639.0,59.0,,,,,,,REGISTRANT,F,2020,MOTORIST
2020-01-24,08:22:00,2020-01-24 08:22:00,BRONX,10460,40.835686,-73.88764,"(40.835686, -73.88764)",,,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,BUS,STATION WAGON/SPORT UTILITY VEHICLE,4278604,11010559,322CE0C1-AA45-4783-ADD9-3CE00C8F7952,OCCUPANT,UNSPECIFIED,19533244.0,23.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT,DOES NOT APPLY,DRIVER,M,2020,MOTORIST
2020-01-24,13:30:00,2020-01-24 13:30:00,BROOKLYN,11226,40.646526,-73.95775,"(40.646526, -73.95775)",,,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,SEDAN,SEDAN,4278822,11026745,5BCA5FC7-D369-4461-A83B-F69ED0DCA0D9,OCCUPANT,UNSPECIFIED,19541538.0,71.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,UNKNOWN,DOES NOT APPLY,DRIVER,F,2020,MOTORIST
2020-01-22,13:47:00,2020-01-22 13:47:00,NONE,,40.845108,-73.913025,"(40.845108, -73.913025)",CROSS BRONX EXPY,,1.0,0.0,0,0,0,0,1,0,FOLLOWING TOO CLOSELY,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,VAN,4277578,11036398,D0DEF24F-8325-45AA-8086-9BA79A0AD99F,OCCUPANT,UNSPECIFIED,19546554.0,46.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,"FRONT PASSENGER, IF TWO OR MORE PERSONS, INCLUDING THE DRIVER, ARE IN THE FRONT SEAT",LAP BELT & HARNESS,DOES NOT APPLY,PASSENGER,M,2020,MOTORIST
2020-02-12,15:07:00,2020-02-12 15:07:00,NONE,,40.807434,-73.92619,"(40.807434, -73.92619)",MAJOR DEEGAN EXPRESSWAY,,3.0,0.0,0,0,0,0,3,0,UNSPECIFIED,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STAKE OR RACK,4287613,11087902,F5FC68C4-78BB-4C3A-A620-656019D08BF9,OCCUPANT,INJURED,19573161.0,33.0,NOT EJECTED,CONSCIOUS,BACK,DRIVER,LAP BELT & HARNESS,COMPLAINT OF PAIN OR NAUSEA,DRIVER,F,2020,MOTORIST
2020-02-02,14:00:00,2020-02-02 14:00:00,NONE,,40.66883,-73.793655,"(40.66883, -73.793655)",133 AVENUE,,1.0,0.0,0,0,0,0,1,0,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,SEDAN,SEDAN,4282462,11080615,30B63067-3032-4C7D-B846-04F5F9949106,OCCUPANT,INJURED,19569344.0,26.0,NOT EJECTED,CONSCIOUS,ABDOMEN - PELVIS,"FRONT PASSENGER, IF TWO OR MORE PERSONS, INCLUDING THE DRIVER, ARE IN THE FRONT SEAT",UNKNOWN,COMPLAINT OF PAIN OR NAUSEA,PASSENGER,F,2020,MOTORIST
2020-01-18,13:28:00,2020-01-18 13:28:00,NONE,,40.738495,-73.90274,"(40.738495, -73.90274)",BROOKLYN QUEENS EXPRESSWAY,,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,SEDAN,SEDAN,4275429,11031304,E9901D44-87AC-4052-A085-EA5FAC77F829,OCCUPANT,UNSPECIFIED,19543886.0,43.0,,,,,,,REGISTRANT,M,2020,MOTORIST
2020-02-14,12:20:00,2020-02-14 12:20:00,MANHATTAN,10018,40.754093,-73.99209,"(40.754093, -73.99209)",8 AVENUE,WEST 37 STREET,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,TAXI,VAN,4289321,11041928,76785B0D-B2C0-4431-927E-02C8D345ACE7,OCCUPANT,UNSPECIFIED,19549407.0,,,,,,,,REGISTRANT,U,2020,MOTORIST
2020-02-11,13:40:00,2020-02-11 13:40:00,BROOKLYN,11219,40.640694,-73.99698,"(40.640694, -73.99698)",46 STREET,10 AVENUE,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4288266,11060197,A383B72E-C04E-4717-9250-05B82F2402C4,OCCUPANT,UNSPECIFIED,19558761.0,,,,,,,,REGISTRANT,M,2020,MOTORIST
2020-01-28,13:28:00,2020-01-28 13:28:00,QUEENS,11434,40.663036,-73.78103,"(40.663036, -73.78103)",146 AVENUE,158 STREET,0.0,0.0,0,0,0,0,0,0,OVERSIZED VEHICLE,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,TRACTOR TRUCK DIESEL,4280215,11113612,E4F2B80C-A1DE-4222-B0B7-61D053F17F8A,OCCUPANT,UNSPECIFIED,19586469.0,,,,,,,,REGISTRANT,U,2020,MOTORIST
2020-02-01,01:58:00,2020-02-01 01:58:00,QUEENS,11434,40.678936,-73.77401,"(40.678936, -73.77401)",,,0.0,0.0,0,0,0,0,0,0,PAVEMENT SLIPPERY,UNSPECIFIED,SEDAN,SEDAN,4282775,11078756,E6E4502A-F0BA-4CEB-B9A9-9286E2CA805E,OCCUPANT,UNSPECIFIED,19568405.0,50.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,F,2020,MOTORIST
2020-02-17,21:55:00,2020-02-17 21:55:00,NONE,,40.844604,-73.90348,"(40.844604, -73.90348)",CROSS BRONX EXPY,,4.0,0.0,0,0,0,0,4,0,FOLLOWING TOO CLOSELY,,SEDAN,,4290198,11092229,860FB2B1-C7DB-4F0F-9E4B-177C735E3F1E,OCCUPANT,INJURED,19575412.0,31.0,NOT EJECTED,CONSCIOUS,DOES NOT APPLY,"LEFT REAR PASSENGER, OR REAR PASSENGER ON A BICYCLE, MOTORCYCLE, SNOWMOBILE",LAP BELT & HARNESS,COMPLAINT OF PAIN OR NAUSEA,PASSENGER,M,2020,MOTORIST
2020-02-06,08:10:00,2020-02-06 08:10:00,NONE,,40.602947,-73.89932,"(40.602947, -73.89932)",BELT PARKWAY,,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4284534,11052736,5B70F04A-9DA4-4209-8267-3C023B7836B2,OCCUPANT,UNSPECIFIED,19554901.0,50.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2020,MOTORIST
2020-01-24,08:05:00,2020-01-24 08:05:00,NONE,,40.788628,-73.789665,"(40.788628, -73.789665)",CROSS ISLAND PARKWAY,,0.0,0.0,0,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,REACTION TO UNINVOLVED VEHICLE,SEDAN,SEDAN,4278563,11087341,D06AAC27-9330-4D59-A47A-A9DFCCAB5CDC,OCCUPANT,UNSPECIFIED,19572863.0,60.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,F,2020,MOTORIST
2020-01-20,15:00:00,2020-01-20 15:00:00,BROOKLYN,11210,40.629505,-73.94416,"(40.629505, -73.94416)",FLATBUSH AVENUE,AVENUE I,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,SEDAN,4276658,11018629,7C60C283-80E8-4D34-A683-9DF0C367BE61,OCCUPANT,UNSPECIFIED,19537353.0,38.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2020,MOTORIST
2020-01-23,12:30:00,2020-01-23 12:30:00,QUEENS,11433,40.70448,-73.79267,"(40.70448, -73.79267)",,,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,,SEDAN,,4278536,11041812,1319A55E-D8D8-428A-A80C-05C8BEF6F99D,OCCUPANT,UNSPECIFIED,19549349.0,32.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,,DOES NOT APPLY,DRIVER,F,2020,MOTORIST
2020-01-21,16:10:00,2020-01-21 16:10:00,MANHATTAN,10033,40.850906,-73.93829,"(40.850906, -73.93829)",WEST 181 STREET,FORT WASHINGTON AVENUE,0.0,0.0,0,0,0,0,0,0,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,SEDAN,SEDAN,4277496,11000821,6E3B6E5F-38A8-4075-B8D1-6F5B5E9CD4B6,OCCUPANT,UNSPECIFIED,19528358.0,48.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,,DOES NOT APPLY,DRIVER,M,2020,MOTORIST
2020-02-15,17:45:00,2020-02-15 17:45:00,BROOKLYN,11233,40.67643,-73.91237,"(40.67643, -73.91237)",,,1.0,0.0,0,0,0,0,1,0,UNSPECIFIED,UNSPECIFIED,SEDAN,SEDAN,4289221,11066865,BEABEB07-2229-4095-ABD5-43884691B592,OCCUPANT,UNSPECIFIED,19562183.0,56.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,,DOES NOT APPLY,DRIVER,M,2020,MOTORIST
2020-01-17,20:00:00,2020-01-17 20:00:00,BRONX,10458,40.870384,-73.88198,"(40.870384, -73.88198)",EAST MOSHOLU PARKWAY SOUTH,MARION AVENUE,0.0,0.0,0,0,0,0,0,0,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4276149,11018614,B2D0FDEF-D995-4204-B11B-E39648AD6527,OCCUPANT,UNSPECIFIED,19537345.0,68.0,,,,,,,REGISTRANT,M,2020,MOTORIST
2020-02-05,11:30:00,2020-02-05 11:30:00,BRONX,10461,40.84844,-73.831,"(40.84844, -73.831)",,,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,,SEDAN,,4284080,11059897,7B264ABD-254C-428D-8278-A78E76FCF64D,OCCUPANT,UNSPECIFIED,19558597.0,33.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,"FRONT PASSENGER, IF TWO OR MORE PERSONS, INCLUDING THE DRIVER, ARE IN THE FRONT SEAT",LAP BELT & HARNESS,DOES NOT APPLY,PASSENGER,M,2020,MOTORIST
2020-01-31,19:36:00,2020-01-31 19:36:00,QUEENS,11422,40.665257,-73.735344,"(40.665257, -73.735344)",SOUTH CONDUIT AVENUE,FRANCIS LEWIS BOULEVARD,1.0,0.0,1,0,0,0,0,0,DRIVER INATTENTION/DISTRACTION,,STATION WAGON/SPORT UTILITY VEHICLE,,4281727,11122977,A28EAF9B-7F47-43C7-9FE8-9F753D9362FC,OCCUPANT,UNSPECIFIED,19591513.0,63.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,M,2020,MOTORIST
2020-01-30,18:50:00,2020-01-30 18:50:00,MANHATTAN,10065,40.761787,-73.95745,"(40.761787, -73.95745)",YORK AVENUE,EAST 64 STREET,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,UNSPECIFIED,SEDAN,STATION WAGON/SPORT UTILITY VEHICLE,4281237,11054580,C6A6E118-A398-451C-B4B8-1527610115E4,OCCUPANT,UNSPECIFIED,19555857.0,69.0,,,,,,,REGISTRANT,M,2020,MOTORIST
2020-02-02,04:30:00,2020-02-02 04:30:00,NONE,,40.6427,-73.87661,"(40.6427, -73.87661)",BELT PARKWAY,,0.0,0.0,0,0,0,0,0,0,REACTION TO UNINVOLVED VEHICLE,REACTION TO UNINVOLVED VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,SEDAN,4283553,11106539,5D9BBAC4-2FA1-429F-AF64-6D0D88436B95,OCCUPANT,UNSPECIFIED,19582839.0,21.0,,,,,,,REGISTRANT,M,2020,MOTORIST
2020-02-14,11:17:00,2020-02-14 11:17:00,BRONX,10469,40.867786,-73.84884,"(40.867786, -73.84884)",,,0.0,0.0,0,0,0,0,0,0,PASSENGER DISTRACTION,OTHER VEHICULAR,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4289068,11062805,32390637-3B52-46FB-978B-DD52425C4631,OCCUPANT,UNSPECIFIED,19560131.0,,,,,,,,REGISTRANT,F,2020,MOTORIST
2020-02-17,14:55:00,2020-02-17 14:55:00,NONE,,40.608635,-74.00094,"(40.608635, -74.00094)",84 STREET,18 AVENUE,0.0,0.0,0,0,0,0,0,0,UNSPECIFIED,,STATION WAGON/SPORT UTILITY VEHICLE,STATION WAGON/SPORT UTILITY VEHICLE,4289908,11090050,C3DB45B0-3856-4343-B0BF-78F5BDFB4409,OCCUPANT,UNSPECIFIED,19574263.0,40.0,,,,,,,REGISTRANT,F,2020,MOTORIST
2020-01-11,12:45:00,2020-01-11 12:45:00,QUEENS,11372,40.752586,-73.87712,"(40.752586, -73.87712)",,,2.0,0.0,0,0,0,0,2,0,TURNING IMPROPERLY,UNSAFE SPEED,STATION WAGON/SPORT UTILITY VEHICLE,MOTORBIKE,4271876,11428516,68B1BE2F-D01E-4CC5-B5A4-3D4AB64B4AC8,OCCUPANT,UNSPECIFIED,19758553.0,53.0,NOT EJECTED,DOES NOT APPLY,DOES NOT APPLY,DRIVER,LAP BELT & HARNESS,DOES NOT APPLY,DRIVER,F,2020,MOTORIST
